code,Name
5,ALEXANDRA HOSPITAL (INPATIENT)
10,Institute of Mental Health/Woodbridge Hospital
15,ALEXANDRA HOSPITAL (OUTPATIENT)
22,Institute of Mental Health/Woodbridge Hospital
23,Institute of Mental Health/Woodbridge Hospital
24,VIEW ROAD HOSPITAL
30,HEALTH PROMOTION BOARD
34,COMMUNICABLE DISEASES CENTRE
50,SINGAPORE NATIONAL EYE CENTRE
51,TAN TOCK SENG HOSPITAL (INPATIENT)
52,TAN TOCK SENG HOSPITAL (OUTPATIENT)
56,SINGAPORE GAMMA KNIFE PTE LTD
58,NATIONAL DENTAL CENTRE
67,SINGAPORE GENERAL HOSPITAL PTE LTD (INPATIENT)
68,SINGAPORE GENERAL HOSPITAL PTE LTD (OUTPATIENT)
69,CHANGI GENERAL HOSPITAL PTE LTD
70,CHANGI GENERAL HOSPITAL PTE LTD
76,KANDANG KERBAU HOSPITAL (INPATIENT)
77,KANDANG KERBAU HOSPITAL (OUTPATIENT)
78,NATIONAL UNIVERSITY HOSPITAL (INPATIENT)
79,NATIONAL UNIVERSITY HOSPITAL (OUTPATIENT)
91,ALEXANDRA DAY HOSPITAL
99,CENTRAL PROVIDENT FUND BOARD
A2,Khoo Teck Puat Hospital
A3,Khoo Teck Puat Hospital
A4,Institute of Mental Health (Outpatient)
A5,Bukit Batok Polyclinic
A6,Clementi Polyclinic
A7,Choa Chu Kang Polyclinic
A8,Jurong Polyclinic
A9,Pioneer Polyclinic
AA,Queenstown Polyclinic
AB,Geylang Polyclinic
BR,DSC Clinic
CU,Jurong Medical Centre
G1,GERIATRIC DAY HOSPITAL AT CGH
G2,GERIATRIC DAY HOSPITAL AT TTSH
H1,NATIONAL HEART CENTRE
H2,NATIONAL CANCER CENTRE
HY,National Skin Centre
K3F,RAFFLES HOSPITAL
K7H,RAFFLES HOSPITAL
KAD,Hougang Family Medicine Clinic @ Ci Yuan Community Club
KMO,"NHG Diagnostics - Xray Laboratory, Woodlands Polyclinic"
KQA,PIONEER POLYCLINIC
KR6,"NHG DIAGNOSTICS X-RAY LABORATORY, PIONEER POLYCLINIC"
KRS,"NHG DIAGNOSTICS â€“ XRAY LABORATORY, GEYLANG POLYCLINIC"
KRT,"NHG DIAGNOSTICS â€“ XRAY LABORATORY, QUEENSTOWN POLYCLINIC"
KVI,"NHG Diagnostics - Xray Laboratory, Woodlands Polyclinic"
NGW,NHG DIAGNOSTICS X-RAY BUKIT BATOK POLYCLINIC
NGX,"NHG Diagnostics - Xray Laboratory, Yishun Polyclinic"
NGY,"NHG DIAGNOSTICS - X-RAY, HOUGANG POLYCLINIC"
NGZ,"NHG DIAGNOSTICS - X-RAY, JURONG POLYCLINIC"
NH0,"NHG DIAGNOSTICS - XRAY LABORATORY, TOA PAYOH POLYCLINIC"
NH1,"NHG Diagnostics - Xray Laboratory, Woodlands Polyclinic"
NH2,"NHG Diagnostics - Xray Laboratory, Ang Mo Kio Polyclinic"
NHH,"NHG DIAGNOSTICS -  X-RAY, CLEMENTI POLYCLINIC"
NHI,"NHG DIAGNOSTICS - XRAY LABORATORY, CHOA CHU KANG POLYCLINIC"
NP,NATIONAL HEALTHCARE GROUP POLYCLINIC
NSE,Gleneagles (CGH Dengue Collab)
NWY,MENH (TTSH Collab)
NWZ,PEH (CGH Dengue Collab)
Q1,Sengkang Hospital Inpatient
