ICD_Code,Description,Critical_Illness_Classification
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",NONE
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",NONE
A009,"Cholera, unspecified",NONE
A0101,Typhoid meningitis,BACTERIAL_MENINGITIS
A0103,Typhoid pneumonia,NONE
A0105,Typhoid osteomyelitis,NONE
A011,Paratyphoid fever A,NONE
A012,Paratyphoid fever B,NONE
A013,Paratyphoid fever C,NONE
A020,Salmonella enteritis,NONE
A0221,Salmonella meningitis,BACTERIAL_MENINGITIS
A0222,Salmonella pneumonia,NONE
A0224,Salmonella osteomyelitis,NONE
A0225,Salmonella pyelonephritis,NONE
A0223,Salmonella arthritis,NONE
A021,Salmonella sepsis,BACTERIAL_MENINGITIS
A014,"Paratyphoid fever, unspecified",NONE
A0104,Typhoid arthritis,NONE
A0100,"Typhoid fever, unspecified",NONE
A0102,Typhoid fever with heart involvement,NONE
A0109,Typhoid fever with other complications,NONE
A0220,"Localized salmonella infection, unspecified",NONE
A0229,Salmonella with other localized infection,NONE
A028,Other specified salmonella infections,NONE
A030,Shigellosis due to Shigella dysenteriae,NONE
A029,"Salmonella infection, unspecified",NONE
A031,Shigellosis due to Shigella flexneri,NONE
A032,Shigellosis due to Shigella boydii,SERIOUS_CORONARY_ARTERY_DISEASE
A033,Shigellosis due to Shigella sonnei,NONE
A040,Enteropathogenic Escherichia coli infection,NONE
A041,Enterotoxigenic Escherichia coli infection,NONE
A042,Enteroinvasive Escherichia coli infection,NONE
A043,Enterohemorrhagic Escherichia coli infection,NONE
A044,Other intestinal Escherichia coli infections,NONE
A046,Enteritis due to Yersinia enterocolitica,NONE
A047,Enterocolitis due to Clostridium difficile,NONE
A049,"Bacterial intestinal infection, unspecified",NONE
A050,Foodborne staphylococcal intoxication,BACTERIAL_MENINGITIS
A054,Foodborne Bacillus cereus intoxication,NONE
A055,Foodborne Vibrio vulnificus intoxication,NONE
A048,Other specified bacterial intestinal infections,NONE
A053,Foodborne Vibrio parahaemolyticus intoxication,NONE
A058,Other specified bacterial foodborne intoxications,NONE
A059,"Bacterial foodborne intoxication, unspecified",NONE
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,NONE
A038,Other shigellosis,NONE
A039,"Shigellosis, unspecified",NONE
A045,Campylobacter enteritis,NONE
A051,Botulism food poisoning,NONE
A060,Acute amebic dysentery,NONE
A063,Ameboma of intestine,NONE
A064,Amebic liver abscess,NONE
A065,Amebic lung abscess,NONE
A061,Chronic intestinal amebiasis,NONE
A062,Amebic nondysenteric colitis,NONE
A066,Amebic brain abscess,NONE
A067,Cutaneous amebiasis,NONE
A0689,Other amebic infections,NONE
A069,"Amebiasis, unspecified",NONE
A071,Giardiasis [lambliasis],NONE
A072,Cryptosporidiosis,NONE
A0682,Other amebic genitourinary infections,NONE
A078,Other specified protozoal intestinal diseases,NONE
A0811,Acute gastroenteropathy due to Norwalk agent,NONE
A0819,Acute gastroenteropathy due to other small round viruses,NONE
A079,"Protozoal intestinal disease, unspecified",NONE
A0681,Amebic cystitis,NONE
A070,Balantidiasis,NONE
A073,Isosporiasis,NONE
A074,Cyclosporiasis,NONE
A080,Rotaviral enteritis,NONE
A082,Adenoviral enteritis,NONE
A0831,Calicivirus enteritis,NONE
A0832,Astrovirus enteritis,NONE
A0839,Other viral enteritis,NONE
A150,Tuberculosis of lung,NONE
A156,Tuberculous pleurisy,NONE
A157,Primary respiratory tuberculosis,NONE
A158,Other respiratory tuberculosis,NONE
A084,"Viral intestinal infection, unspecified",NONE
A088,Other specified intestinal infections,NONE
A09,"Infectious gastroenteritis and colitis, unspecified",NONE
A154,Tuberculosis of intrathoracic lymph nodes,NONE
A155,"Tuberculosis of larynx, trachea and bronchus",NONE
A159,Respiratory tuberculosis unspecified,NONE
A1781,Tuberculoma of brain and spinal cord,MAJOR_CANCERS
A1789,Other tuberculosis of nervous system,NONE
A1802,Tuberculous arthritis of other joints,NONE
A1809,Other musculoskeletal tuberculosis,NONE
A1811,Tuberculosis of kidney and ureter,NONE
A1813,Tuberculosis of other urinary organs,NONE
A1815,Tuberculosis of other male genital organs,NONE
A1817,Tuberculous female pelvic inflammatory disease,NONE
A1818,Tuberculosis of other female genital organs,NONE
A184,Tuberculosis of skin and subcutaneous tissue,NONE
A182,Tuberculous peripheral lymphadenopathy,NONE
A1812,Tuberculosis of bladder,MAJOR_CANCERS
A1814,Tuberculosis of prostate,NONE
A1816,Tuberculosis of cervix,NONE
A1831,Tuberculous peritonitis,NONE
A1832,Tuberculous enteritis,NONE
A1851,Tuberculous episcleritis,NONE
A1852,Tuberculous keratitis,NONE
A1839,Retroperitoneal tuberculosis,NONE
A1850,"Tuberculosis of eye, unspecified",NONE
A1803,Tuberculosis of other bones,NONE
A179,"Tuberculosis of nervous system, unspecified",NONE
A1810,"Tuberculosis of genitourinary system, unspecified",NONE
A1782,Tuberculous meningoencephalitis,BACTERIAL_MENINGITIS
A170,Tuberculous meningitis,BACTERIAL_MENINGITIS
A171,Meningeal tuberculoma,BACTERIAL_MENINGITIS
A1783,Tuberculous neuritis,NONE
A1801,Tuberculosis of spine,NONE
A1853,Tuberculous chorioretinitis,NONE
A1854,Tuberculous iridocyclitis,APALLIC_SYNDROME
A1859,Other tuberculosis of eye,NONE
A186,Tuberculosis of (inner) (middle) ear,NONE
A1882,Tuberculosis of other endocrine glands,NONE
A190,Acute miliary tuberculosis of a single specified site,NONE
A191,Acute miliary tuberculosis of multiple sites,NONE
A192,"Acute miliary tuberculosis, unspecified",NONE
A1883,"Tuberculosis of digestive tract organs, not elsewhere classified",NONE
A187,Tuberculosis of adrenal glands,NONE
A1881,Tuberculosis of thyroid gland,NONE
A1884,Tuberculosis of heart,NONE
A1885,Tuberculosis of spleen,NONE
A1889,Tuberculosis of other sites,MAJOR_CANCERS
A198,Other miliary tuberculosis,NONE
A201,Cellulocutaneous plague,NONE
A200,Bubonic plague,NONE
A202,Pneumonic plague,BACTERIAL_MENINGITIS
A203,Plague meningitis,BACTERIAL_MENINGITIS
A207,Septicemic plague,NONE
A208,Other forms of plague,NONE
A210,Ulceroglandular tularemia,NONE
A211,Oculoglandular tularemia,NONE
A213,Gastrointestinal tularemia,NONE
A212,Pulmonary tularemia,NONE
A217,Generalized tularemia,NONE
A218,Other forms of tularemia,BACTERIAL_MENINGITIS
A209,"Plague, unspecified",NONE
A199,"Miliary tuberculosis, unspecified",NONE
A219,"Tularemia, unspecified",NONE
A220,Cutaneous anthrax,NONE
A221,Pulmonary anthrax,END_STAGE_LUNG_DISEASE
